,topic_id,correct_stance,doc_id,target,prediction,bm25_score,unhelpful_probability,helpful_probability,url
0,188,dummy stance,en.noclean.c4-train.01409-of-07168.101338,0,1,11.425800323486328,0.05739282,0.94260716,http://truthaboutabsdiscount.org/12307-can-i-drink-coffee-and-still-lose-weight.php
1,188,dummy stance,en.noclean.c4-train.00160-of-07168.6349,0,1,11.415599822998049,0.023002429,0.9769976,http://avon-novosib.ru/854-drink-coffee-black-lose-weight.php
2,188,dummy stance,en.noclean.c4-train.03285-of-07168.80540,0,1,11.412500381469728,0.02959092,0.97040904,http://laky-teplica.ru/how-much-weight-can-you-lose-with-coffee-enemas.php
3,188,dummy stance,en.noclean.c4-train.01878-of-07168.66374,0,1,11.408699989318848,0.044057276,0.95594275,http://aerospjournal.ru/3811-does-coffee-help-weight-loss.php
4,188,dummy stance,en.noclean.c4-train.00889-of-07168.44061,0,1,11.406800270080566,0.014655045,0.98534495,http://yaruki-up.info/does-green-coffee-bean-help-lose-weight.php
5,188,dummy stance,en.noclean.c4-train.02051-of-07168.76653,0,1,11.37969970703125,0.08180011,0.9181999,http://ured8yu.info/does-drinking-coffee-help-in-weight-loss.php
6,188,dummy stance,en.noclean.c4-train.04146-of-07168.142189,0,1,11.370800018310549,0.13347188,0.8665281,http://starlightmks.com/12939-how-does-green-coffee-help-u-lose-weight.php
7,188,dummy stance,en.noclean.c4-train.01671-of-07168.69698,0,1,11.36620044708252,0.04321275,0.9567872,http://starlightmks.com/2833-will-i-lose-weight-just-drinking-coffee.php
8,188,dummy stance,en.noclean.c4-train.05163-of-07168.95013,0,1,11.359800338745115,0.03552532,0.9644747,http://allods-zone.ru/3042-does-drinking-green-coffee-help-you-lose-weight.php
9,188,dummy stance,en.noclean.c4-train.02590-of-07168.6235,0,1,11.354700088500977,0.018125247,0.98187476,http://nailnation.me/850-does-black-coffee-help-lose-fat.php
10,188,dummy stance,en.noclean.c4-train.06657-of-07168.95589,0,1,11.336899757385254,0.03170183,0.96829814,http://seo-bob.ru/1898-green-coffee-beans-help-lose-weight.php
11,188,dummy stance,en.noclean.c4-train.06354-of-07168.133368,0,1,11.32830047607422,0.051622115,0.94837785,https://asgjesikurdielli.info/viewtopic.php?t=11922
12,188,dummy stance,en.noclean.c4-train.03982-of-07168.135740,0,1,11.320500373840332,0.068087555,0.9319124,http://forsane-alizza.com/does-coconut-coffee-really-help-you-lose-weight.php
13,188,dummy stance,en.noclean.c4-train.00584-of-07168.39652,0,0,11.30799961090088,0.9851677,0.014832325,https://healthandfitnessstartwithyou.com/does-coffee-help-you-lose-weight
14,188,dummy stance,en.noclean.c4-train.02006-of-07168.132086,0,1,11.301199913024902,0.06622522,0.9337748,http://ured8yu.info/does-black-coffee-hinder-weight-loss.php
15,188,dummy stance,en.noclean.c4-train.02796-of-07168.118253,0,1,11.30109977722168,0.039717313,0.9602827,http://piala-rest.ru/4764-does-drinking-coffee-slow-weight-loss.php
16,188,dummy stance,en.noclean.c4-train.05881-of-07168.118103,0,1,11.292400360107422,0.054645147,0.9453548,http://konadlive.ru/how-much-weight-can-you-lose-doing-coffee-enemas.php
17,188,dummy stance,en.noclean.c4-train.00537-of-07168.59850,0,1,11.283699989318848,0.02932502,0.970675,http://www.conciergemedicine.noblecomfort.com/tag/decaf-coffee/
18,188,dummy stance,en.noclean.c4-train.06883-of-07168.16699,0,1,11.279000282287598,0.017021691,0.9829783,https://www.nowloss.com/coffee-scrub-skin-problems.htm
19,188,dummy stance,en.noclean.c4-train.04105-of-07168.116859,0,1,11.27869987487793,0.043264143,0.9567358,http://www.cigarwarehouseny.com/nfrlajdx
20,188,dummy stance,en.noclean.c4-train.02275-of-07168.104004,0,1,11.26650047302246,0.035397127,0.9646029,http://avon-novosib.ru/46-does-black-coffee-aid-weight-loss.php
21,188,dummy stance,en.noclean.c4-train.03118-of-07168.103808,0,1,11.26039981842041,0.105050415,0.8949496,http://www.dietprogramstoloseweight.com/special-price-naturewise-green-coffee-bean-extract-ultimate-user-guide-how-to-use-it-why-you-need-it-why-it-is-better-safer-for-you-it-benefits-it-caution-it-side-effects-it-cons-it-pros/
22,188,dummy stance,en.noclean.c4-train.04720-of-07168.33156,0,1,11.260199546813965,0.038930733,0.96106935,http://theperfectbiotics.com/green-coffee-burns-fat.php
23,188,dummy stance,en.noclean.c4-train.01021-of-07168.134038,0,1,11.259699821472168,0.04625861,0.95374143,http://www.wylys.org/tag/decaf-coffee/
24,188,dummy stance,en.noclean.c4-train.01711-of-07168.25737,0,1,11.259300231933594,0.024791442,0.97520864,https://www.wikihow.com/Lose-Weight-with-Coffee
25,188,dummy stance,en.noclean.c4-train.02137-of-07168.24466,0,1,11.249899864196776,0.013564868,0.9864352,https://leearchive.info/news.php?action=show&id=16223
26,188,dummy stance,en.noclean.c4-train.06356-of-07168.48872,0,1,11.242300033569336,0.014640785,0.9853592,http://burncaloriesforlife.com/can-drinking-coffee-make-you-lose-weight.shtml
27,188,dummy stance,en.noclean.c4-train.05988-of-07168.121500,0,1,11.24180030822754,0.011335618,0.98866445,https://weightlosssuppelement.com/
28,188,dummy stance,en.noclean.c4-train.01228-of-07168.40797,0,1,11.237199783325195,0.03288695,0.967113,http://m-chains.com/823-does-green-coffee-really-help-with-weight-loss.php
29,188,dummy stance,en.noclean.c4-train.03389-of-07168.90463,0,1,11.236000061035156,0.12593399,0.874066,https://asgjesikurdielli.info/viewtopic.php?t=28991
30,188,dummy stance,en.noclean.c4-train.01172-of-07168.134929,0,1,11.235899925231934,0.26744023,0.7325598,http://grosir-kosmetik.com/can-i-lose-weight-just-drinking-coffee.php
31,188,dummy stance,en.noclean.c4-train.02532-of-07168.112853,0,1,11.231599807739258,0.037719984,0.96228004,https://www.nowloss.com/butter-coffee-to-lose-weight-quickly.htm
32,188,dummy stance,en.noclean.c4-train.06677-of-07168.78363,0,1,11.22920036315918,0.045025066,0.95497495,http://f-shashlik.ru/green-coffee-extract-benefits.php
33,188,dummy stance,en.noclean.c4-train.00487-of-07168.112915,0,1,11.226099967956545,0.12960653,0.8703934,http://www.thecoffeebeanmenu.com/drink-coffee-to-lose-weight-fast/
34,188,dummy stance,en.noclean.c4-train.06828-of-07168.59857,0,1,11.221099853515623,0.01796325,0.98203677,http://asttrailers.ru/11625-does-drinking-coffee-help-weight-loss.php
35,188,dummy stance,en.noclean.c4-train.05960-of-07168.96565,0,0,11.220000267028809,0.95756257,0.042437393,http://galexcity.ru/18-04-2017-22.php
36,188,dummy stance,en.noclean.c4-train.06384-of-07168.102786,0,1,11.21909999847412,0.009555409,0.9904446,https://www.howtoloseweightfastinfo.net/benefits-of-green-coffee-bean-extract-and-how-people-are-using-it-to-lose-weight/
37,188,dummy stance,en.noclean.c4-train.04453-of-07168.59529,0,1,11.212200164794922,0.01793489,0.98206514,https://articleonfitness.com/does-coffee-help-to-lose-weight/
38,188,dummy stance,en.noclean.c4-train.03129-of-07168.59764,0,1,11.211199760437012,0.044426505,0.9555735,http://asttrailers.ru/7555-does-drinking-coffee-slow-down-weight-loss.php
39,188,dummy stance,en.noclean.c4-train.01212-of-07168.2531,0,0,11.20740032196045,0.9225165,0.07748346,https://www.nowloss.com/is-caffeine-coffee-good-bad-for-weight-loss.htm
40,188,dummy stance,en.noclean.c4-train.01447-of-07168.74842,0,1,11.19760036468506,0.02467824,0.97532177,https://dimension-maker.info/viewtopic.php?t=11071
41,188,dummy stance,en.noclean.c4-train.01146-of-07168.63293,0,1,11.194700241088867,0.4077338,0.59226626,http://thewall.ideb8.us/node/132
42,188,dummy stance,en.noclean.c4-train.05007-of-07168.131044,0,1,11.192399978637695,0.011324027,0.98867595,http://shedandshape.com/can-keto-coffee-help-you-lose-weight/
43,188,dummy stance,en.noclean.c4-train.03355-of-07168.121078,0,1,11.188599586486816,0.2372512,0.76274884,http://bar-celonagroup.com/4337-is-green-coffee-helpful-in-weight-loss.php
44,188,dummy stance,en.noclean.c4-train.00407-of-07168.130014,0,1,11.183799743652344,0.024273667,0.9757263,http://www.dietprogramstoloseweight.com/hot-green-coffee-bean-extract-for-weight-loss-natural-diet-pills-for-men-and-women-best-green-coffee-bean-weight-loss-supplement-800-mg-pure-metabolism-booster-antioxidant-60-capsules-by-bio-sense/
45,188,dummy stance,en.noclean.c4-train.01381-of-07168.98410,0,1,11.17770004272461,0.07211511,0.9278849,http://therestaurantcode.com/natural-lose-weight-coffee-review.php
46,188,dummy stance,en.noclean.c4-train.03671-of-07168.90411,0,1,11.176600456237791,0.061969224,0.93803084,http://forsane-alizza.com/does-green-coffee-help-with-weight-loss.php
47,188,dummy stance,en.noclean.c4-train.00560-of-07168.34666,0,1,11.171799659729004,0.06967399,0.930326,https://asgjesikurdielli.info/viewtopic.php?t=5253
48,188,dummy stance,en.noclean.c4-train.02326-of-07168.136273,0,1,11.17099952697754,0.039833505,0.9601665,http://thedysfunctionalangel.ml/joru/lose-weight-with-green-coffee-704.php
49,188,dummy stance,en.noclean.c4-train.04207-of-07168.85689,0,1,11.167499542236328,0.009311362,0.99068856,https://asgjesikurdielli.info/viewtopic.php?t=10563
50,188,dummy stance,en.noclean.c4-train.00098-of-07168.75238,0,1,11.167399406433104,0.11746304,0.88253695,https://ultimatestoragesystems.com/green-coffee-lose-weight/
51,188,dummy stance,en.noclean.c4-train.07159-of-07168.147126,0,1,11.166600227355955,0.14144382,0.85855615,https://www.weightlosspillswork.com/category/weight-loss-supplement/
52,188,dummy stance,en.noclean.c4-train.00292-of-07168.101131,0,1,11.16160011291504,0.37481314,0.6251868,https://binaryforexacademy.org/green-coffee-bean-max-review/
53,188,dummy stance,en.noclean.c4-train.05998-of-07168.132095,0,1,11.159099578857422,0.01962541,0.9803745,http://encyclopedialive.info/green-coffee-weight-loss-tablets.php
54,188,dummy stance,en.noclean.c4-train.05628-of-07168.91970,0,1,11.157400131225586,0.017359357,0.9826407,https://socnet.org/green-coffee/
55,188,dummy stance,en.noclean.c4-train.04385-of-07168.24992,0,1,11.156800270080566,0.080866344,0.9191336,http://vymena-ikonek.info/green-tea-or-coffee-for-weight-loss.php
56,188,dummy stance,en.noclean.c4-train.00562-of-07168.17679,0,1,11.155200004577637,0.038793046,0.961207,https://www.europebreakingnews.net/tag/lose-7-pounds-in-one-week/
57,188,dummy stance,en.noclean.c4-train.05214-of-07168.40423,0,1,11.15369987487793,0.032095265,0.96790475,https://asgjesikurdielli.info/viewtopic.php?t=15545
58,188,dummy stance,en.noclean.c4-train.00842-of-07168.7920,0,1,11.15250015258789,0.10206662,0.8979334,https://stmbooks.co.uk/en/green-coffee-plus-review
59,188,dummy stance,en.noclean.c4-train.03783-of-07168.11746,0,1,11.152199745178224,0.34309313,0.6569069,http://www.med-health.net/does-coffee-help-you-lose-weight.html
60,188,dummy stance,en.noclean.c4-train.01181-of-07168.57094,0,1,11.152198791503906,0.019265762,0.9807342,http://trimfitreview.org/
61,188,dummy stance,en.noclean.c4-train.04544-of-07168.2310,0,1,11.15219783782959,0.021264961,0.978735,http://trimfitreview.org/author/trimfit/
62,188,dummy stance,en.noclean.c4-train.04180-of-07168.46908,0,1,11.15060043334961,0.1445382,0.85546184,https://www.fitneass.com/lose-weight-with-coffee/
63,188,dummy stance,en.noclean.c4-train.02894-of-07168.48273,0,1,11.14900016784668,0.050917055,0.9490829,http://xestionprofesional.tk/51203-2019/green-coffee-coleus-103.php
64,188,dummy stance,en.noclean.c4-train.00548-of-07168.25585,0,1,11.145600318908691,0.13183543,0.86816454,http://geekorama.ru/168-how-wow-green-coffee-works.php
65,188,dummy stance,en.noclean.c4-train.00971-of-07168.20100,0,1,11.143699645996094,0.045256183,0.9547438,http://konadlive.ru/premium-garcinia-and-green-coffee-cleanse.php
66,188,dummy stance,en.noclean.c4-train.04124-of-07168.53700,0,1,11.142200469970703,0.021068396,0.9789316,https://myservice4all.com/10-ways-to-lose-weight-in-your-hips-at-home
67,188,dummy stance,en.noclean.c4-train.05880-of-07168.128844,0,1,11.14210033416748,0.022442587,0.9775574,https://www.thesmartweightloss.com/coffee-to-lose-weight-fast/
68,188,dummy stance,en.noclean.c4-train.00859-of-07168.49593,0,1,11.13860034942627,0.009876232,0.9901238,https://allremedies.com/lose-weight-in-a-week/
69,188,dummy stance,en.noclean.c4-train.05159-of-07168.112609,0,1,11.135899543762209,0.09165066,0.90834934,http://aerospjournal.ru/12576-will-caffeine-help-weight-loss.php
70,188,dummy stance,en.noclean.c4-train.00005-of-07168.49242,0,0,11.133700370788574,0.7234698,0.27653012,http://helptheoversharers.com/528-does-caffeine-affect-weight-loss.php
71,188,dummy stance,en.noclean.c4-train.05673-of-07168.122220,0,1,11.132100105285645,0.017766237,0.9822337,https://wellnesscoachingforlife.com/green-coffee-bean-program-green-coffee-bean-diet-safe/
72,188,dummy stance,en.noclean.c4-train.06370-of-07168.14137,0,1,11.12969970703125,0.06432462,0.93567544,http://shackobr.ru/12167-what-do-green-coffee-beans-do-for-you.php
73,188,dummy stance,en.noclean.c4-train.01160-of-07168.147044,0,1,11.129698753356934,0.07199835,0.92800164,https://ixivixi.com/Weight_Loss-detail/honest-green-bean-coffee-reviews
74,188,dummy stance,en.noclean.c4-train.00869-of-07168.70561,0,1,11.129199981689451,0.028749522,0.9712505,http://asttrailers.ru/7677-drink-coffee-lose-weight-make-money.php
75,188,dummy stance,en.noclean.c4-train.06791-of-07168.7731,0,1,11.12909984588623,0.042261377,0.9577386,http://starlightmks.com/2877-does-lymphatic-drainage-make-you-lose-weight.php
76,188,dummy stance,en.noclean.c4-train.00166-of-07168.116757,0,1,11.127400398254396,0.14476691,0.85523313,http://thewall.ideb8.us/node/120
77,188,dummy stance,en.noclean.c4-train.02905-of-07168.140950,0,1,11.127300262451172,0.008838248,0.9911617,http://www.espressomakerguide.com/black-coffee-weight-loss/
78,188,dummy stance,en.noclean.c4-train.04518-of-07168.55068,0,1,11.126700401306152,0.04509952,0.9549005,http://winery-yeast.com/page/416/
79,188,dummy stance,en.noclean.c4-train.02942-of-07168.141689,0,1,11.12660026550293,0.123216234,0.8767838,http://nailnation.me/906-purely-inspired-green-coffee-lose-weight.php
80,188,dummy stance,en.noclean.c4-train.04818-of-07168.146335,0,1,11.124799728393556,0.03231079,0.96768916,http://www.usaonlineclassifieds.com/category/9207-Health-Beauty-Weight-Loss.html
81,188,dummy stance,en.noclean.c4-train.05770-of-07168.107305,0,1,11.12440013885498,0.08474558,0.9152544,http://avon-novosib.ru/133-can-you-lose-weight-just-by-jumping-rope.php
82,188,dummy stance,en.noclean.c4-train.01608-of-07168.116562,0,1,11.121500015258787,0.058186717,0.94181323,https://asgjesikurdielli.info/viewtopic.php?t=839
83,188,dummy stance,en.noclean.c4-train.04348-of-07168.80028,0,1,11.121499061584473,0.22416915,0.7758309,http://www.vitaminsdiary.com/blog/category/fitness/
84,188,dummy stance,en.noclean.c4-train.02134-of-07168.43415,0,1,11.121397972106934,0.013431912,0.9865681,http://aerospjournal.ru/7634-green-coffee-cleanse-ultra-gnc.php
85,188,dummy stance,en.noclean.c4-train.01187-of-07168.73948,0,1,11.115500450134276,0.007914596,0.9920854,http://www.dietprogramstoloseweight.com/tag/green-coffee-bean-extract/
86,188,dummy stance,en.noclean.c4-train.03688-of-07168.95415,0,0,11.114100456237791,0.7987508,0.20124921,http://diet.planetofmebel.ru/weight-loss-coffee/
87,188,dummy stance,en.noclean.c4-train.01464-of-07168.80743,0,1,11.113300323486328,0.022656722,0.9773433,http://asttrailers.ru/11449-can-you-lose-weight-by-drinking-only-coffee.php
88,188,dummy stance,en.noclean.c4-train.06720-of-07168.3375,0,1,11.113100051879885,0.09116895,0.90883106,http://cbittingstherapy.com/is-coffee-with-cream-good-for-weight-loss
